movie_id,title,genre,rating,review
1,Inception,Sci-Fi,8.8,A mind-bending thriller by Christopher Nolan.
2,The Dark Knight,Action,9.0,The iconic superhero movie with a dark twist.
3,Forrest Gump,Drama,8.8,A heartwarming and inspirational film.
4,The Matrix,Sci-Fi,8.7,An iconic action-packed cyberpunk thriller.
5,The Shawshank Redemption,Drama,9.3,A tale of friendship and hope inside a prison.
6,The Godfather,Crime,9.2,A mafia classic with powerful performances.
7,Pulp Fiction,Crime,8.9,Quentin Tarantino’s iconic nonlinear narrative.
8,The Lord of the Rings: The Return of the King,Fantasy,8.9,The epic conclusion to the fantasy trilogy.
9,The Empire Strikes Back,Sci-Fi,8.7,The second chapter in the Star Wars saga.
10,The Godfather: Part II,Crime,9.0,The brilliant sequel to The Godfather.
11,The Dark Knight Rises,Action,8.4,Batman’s final stand against Bane.
12,Schindler’s List,Drama,9.0,The heart-wrenching true story of Holocaust hero Oskar Schindler.
13,Fight Club,Drama,8.8,A psychological thriller about identity and consumerism.
14,The Lord of the Rings: The Fellowship of the Ring,Fantasy,8.8,The start of the unforgettable journey to destroy the One Ring.
15,Star Wars,Sci-Fi,8.6,The iconic original Star Wars movie that started it all.
16,The Lion King,Animation,8.5,Disney’s classic about a young lion’s journey to the throne.
17,The Green Mile,Drama,8.6,A supernatural tale of miracles inside a death row prison.
18,Gladiator,Action,8.5,A gripping historical drama about revenge and redemption.
19,Interstellar,Sci-Fi,8.6,An emotional space exploration adventure directed by Christopher Nolan.
20,The Prestige,Drama,8.5,A thrilling rivalry between two magicians.
21,The Departed,Crime,8.5,A tense and thrilling mob drama directed by Martin Scorsese.
22,The Silence of the Lambs,Thriller,8.6,A chilling psychological thriller about an FBI agent and a serial killer.
23,The Revenant,Adventure,8.0,A gritty survival film about a man’s fight for survival in the wild.
24,Inglourious Basterds,Action,8.3,Quentin Tarantino’s alternate history WWII epic.
25,Goodfellas,Crime,8.7,Martin Scorsese’s masterpiece about a life in the mafia.
26,The Pianist,Drama,8.5,A powerful World War II film about a pianist's survival.
27,A Beautiful Mind,Drama,8.2,A biographical drama about mathematician John Nash.
28,The Social Network,Drama,8.0,The story of Facebook’s creation and its founder.
29,Avatar,Action,7.8,A visual spectacle about an alien world and a battle for survival.
30,The Notebook,Romance,7.8,A timeless love story spanning decades.
31,The Breakfast Club,Comedy,8.0,A coming-of-age movie set in a high school detention.
32,The Avengers,Action,8.0,A superhero crossover film bringing together iconic Marvel characters.
33,Jurassic Park,Adventure,8.1,A thrilling adventure about dinosaurs brought back to life.
34,The Wizard of Oz,Fantasy,8.0,A magical journey through the land of Oz.
35,The Great Gatsby,Drama,7.4,A story of love and excess in the Roaring Twenties.
36,Back to the Future,Adventure,8.5,A time-travel adventure that became a cultural phenomenon.
37,Citizen Kane,Drama,8.3,A cinematic masterpiece about the rise and fall of a media mogul.
38,The Terminator,Action,8.0,A thrilling science fiction film about a killer cyborg.
39,Titanic,Romance,7.8,A tragic love story set against the backdrop of the Titanic disaster.
40,Star Wars: The Force Awakens,Sci-Fi,7.8,A new generation of heroes in the Star Wars universe.
41,The Incredibles,Animation,8.0,A family of superheroes on a mission to save the world.
42,Spider-Man: Into the Spider-Verse,Animation,8.4,An animated superhero film about multiple Spider-Men from different dimensions.
43,Shutter Island,Thriller,8.1,A psychological thriller set on a remote island with a mental hospital.
44,Whiplash,Drama,8.5,A powerful drama about ambition and obsession in the world of jazz.
45,The Big Lebowski,Comedy,8.1,A quirky cult classic about a laid-back bowling enthusiast.
46,Memento,Thriller,8.4,A mind-bending thriller about memory loss and revenge.
